query,intent,imformativeness
I want a classification model.,new,
I would like to have a classifier.,new,
Please build a regression model.,new,
Hi! Please build an ML model that can classify 10 digits with MNIST data. Thanks~,new,
Hello~ I want a deep learning model that can predict a number from an image trained with the MNIST data set.,new,
I would like to get a classifier.,new,
I would like to get a regressor.,new,
The data set is CIFAR-100.,update,
I want a model that can classify cat and dog images.,new,
just use the CIFAR-10.,update,
"No, only an ML model is enough.",update,
I want a model that can forecast the price of this data.,new,
Yes.,update,
"Not enough, I want a better model.",update,
